danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,title
0.462,0.832,11,-6.085,0,0.0479,0.108,0.00416,0.0741,0.807,165.653,audio_features,0YJ9FWWHn9EfnN0lHwbzvV,spotify:track:0YJ9FWWHn9EfnN0lHwbzvV,https://api.spotify.com/v1/tracks/0YJ9FWWHn9EfnN0lHwbzvV,https://api.spotify.com/v1/audio-analysis/0YJ9FWWHn9EfnN0lHwbzvV,248893,4,,
0.331,0.471,2,-5.631,1,0.0299,0.00644,0,0.0653,0.142,90.057,audio_features,6ZaiqbV2GfUtrUlhsu58fN,spotify:track:6ZaiqbV2GfUtrUlhsu58fN,https://api.spotify.com/v1/tracks/6ZaiqbV2GfUtrUlhsu58fN,https://api.spotify.com/v1/audio-analysis/6ZaiqbV2GfUtrUlhsu58fN,230186,4,,
0.535,0.448,2,-9.167,1,0.0279,0.00262,1.94E-05,0.115,0.32,101.986,audio_features,5411TEB6tlzvuF5A4oyldr,spotify:track:5411TEB6tlzvuF5A4oyldr,https://api.spotify.com/v1/tracks/5411TEB6tlzvuF5A4oyldr,https://api.spotify.com/v1/audio-analysis/5411TEB6tlzvuF5A4oyldr,149680,4,,
0.398,0.493,9,-9.561,1,0.0303,0.00347,0.000157,0.106,0.412,82.048,audio_features,2Co0IjcLTSHMtodwD4gzfg,spotify:track:2Co0IjcLTSHMtodwD4gzfg,https://api.spotify.com/v1/tracks/2Co0IjcLTSHMtodwD4gzfg,https://api.spotify.com/v1/audio-analysis/2Co0IjcLTSHMtodwD4gzfg,170240,4,,
0.67,0.905,1,-6.855,1,0.129,0.669,0.000227,0.349,0.563,104.965,audio_features,3IznIgmXtrUaoPWpQTy5jB,spotify:track:3IznIgmXtrUaoPWpQTy5jB,https://api.spotify.com/v1/tracks/3IznIgmXtrUaoPWpQTy5jB,https://api.spotify.com/v1/audio-analysis/3IznIgmXtrUaoPWpQTy5jB,167864,4,,
0.625,0.659,0,-5.669,1,0.0337,0.12,0,0.17,0.594,113.551,audio_features,6QeYSvYqYUsfBzsApbjDHO,spotify:track:6QeYSvYqYUsfBzsApbjDHO,https://api.spotify.com/v1/tracks/6QeYSvYqYUsfBzsApbjDHO,https://api.spotify.com/v1/audio-analysis/6QeYSvYqYUsfBzsApbjDHO,198961,4,,
0.295,0.637,8,-4.043,1,0.0288,0.0496,0.0236,0.112,0.221,84.551,audio_features,7fd3aMiuwHWKsTdZafjOfZ,spotify:track:7fd3aMiuwHWKsTdZafjOfZ,https://api.spotify.com/v1/tracks/7fd3aMiuwHWKsTdZafjOfZ,https://api.spotify.com/v1/audio-analysis/7fd3aMiuwHWKsTdZafjOfZ,156146,4,,
0.497,0.638,1,-5.31,1,0.0274,0.0467,0,0.385,0.77,172.01,audio_features,3pANfZVFdtuVnJsE6xa5Ox,spotify:track:3pANfZVFdtuVnJsE6xa5Ox,https://api.spotify.com/v1/tracks/3pANfZVFdtuVnJsE6xa5Ox,https://api.spotify.com/v1/audio-analysis/3pANfZVFdtuVnJsE6xa5Ox,137142,4,,
0.727,0.919,0,-4.562,1,0.0285,0.165,0.0111,0.306,0.92,115.816,audio_features,263KsGZODTZouh3RFGNaLX,spotify:track:263KsGZODTZouh3RFGNaLX,https://api.spotify.com/v1/tracks/263KsGZODTZouh3RFGNaLX,https://api.spotify.com/v1/audio-analysis/263KsGZODTZouh3RFGNaLX,194453,4,,
0.604,0.573,2,-7.804,1,0.037,0.289,0.0406,0.133,0.581,107.862,audio_features,4vsoWZcvtvSsE0OiVvDDvX,spotify:track:4vsoWZcvtvSsE0OiVvDDvX,https://api.spotify.com/v1/tracks/4vsoWZcvtvSsE0OiVvDDvX,https://api.spotify.com/v1/audio-analysis/4vsoWZcvtvSsE0OiVvDDvX,206947,4,,
0.339,0.292,3,-11.294,1,0.0348,0.514,0,0.0713,0.0655,131.702,audio_features,7FHj19QQigvMH1onMYRNLn,spotify:track:7FHj19QQigvMH1onMYRNLn,https://api.spotify.com/v1/tracks/7FHj19QQigvMH1onMYRNLn,https://api.spotify.com/v1/audio-analysis/7FHj19QQigvMH1onMYRNLn,183792,3,,
0.828,0.66,6,-9.669,1,0.0337,0.508,0.403,0.0755,0.904,113.45,audio_features,3pyyGVqWvRMq43qtJBzxe0,spotify:track:3pyyGVqWvRMq43qtJBzxe0,https://api.spotify.com/v1/tracks/3pyyGVqWvRMq43qtJBzxe0,https://api.spotify.com/v1/audio-analysis/3pyyGVqWvRMq43qtJBzxe0,269143,4,,
0.33,0.532,2,-11.764,1,0.0263,0.00101,0.709,0.101,0.218,93.512,audio_features,0oxYB9GoOIDrdzniNdKC44,spotify:track:0oxYB9GoOIDrdzniNdKC44,https://api.spotify.com/v1/tracks/0oxYB9GoOIDrdzniNdKC44,https://api.spotify.com/v1/audio-analysis/0oxYB9GoOIDrdzniNdKC44,285907,4,,
0.544,0.241,4,-14.779,0,0.03,0.983,0.774,0.101,0.359,109.437,audio_features,3Y4rUyw7XBCK6hGHCOt6rp,spotify:track:3Y4rUyw7XBCK6hGHCOt6rp,https://api.spotify.com/v1/tracks/3Y4rUyw7XBCK6hGHCOt6rp,https://api.spotify.com/v1/audio-analysis/3Y4rUyw7XBCK6hGHCOt6rp,204773,4,,
0.776,0.626,6,-12.561,1,0.0396,0.622,0.899,0.086,0.866,122.072,audio_features,7sIx70dGj3VBiHWr0KZXfD,spotify:track:7sIx70dGj3VBiHWr0KZXfD,https://api.spotify.com/v1/tracks/7sIx70dGj3VBiHWr0KZXfD,https://api.spotify.com/v1/audio-analysis/7sIx70dGj3VBiHWr0KZXfD,194733,4,,
0.174,0.742,8,-5.93,1,0.0485,0.00181,0.281,0.198,0.36,163.378,audio_features,2enPRFda84VE2wtI8c86Uf,spotify:track:2enPRFda84VE2wtI8c86Uf,https://api.spotify.com/v1/tracks/2enPRFda84VE2wtI8c86Uf,https://api.spotify.com/v1/audio-analysis/2enPRFda84VE2wtI8c86Uf,223747,4,,
0.553,0.465,9,-9.664,1,0.0301,0.84,0.97,0.102,0.652,79.223,audio_features,6WlmEymaXKMRs3D2c4j6os,spotify:track:6WlmEymaXKMRs3D2c4j6os,https://api.spotify.com/v1/tracks/6WlmEymaXKMRs3D2c4j6os,https://api.spotify.com/v1/audio-analysis/6WlmEymaXKMRs3D2c4j6os,141040,4,,
0.255,0.468,7,-6.43,0,0.0317,0.822,0.248,0.339,0.175,111.67,audio_features,1KuVEZR4xuQVNr1KkanAV4,spotify:track:1KuVEZR4xuQVNr1KkanAV4,https://api.spotify.com/v1/tracks/1KuVEZR4xuQVNr1KkanAV4,https://api.spotify.com/v1/audio-analysis/1KuVEZR4xuQVNr1KkanAV4,181960,4,,
0.625,0.949,4,-4.714,0,0.0561,0.00456,0.00506,0.645,0.496,100.639,audio_features,5ExWCOYjZbMEZCIdlfH2dO,spotify:track:5ExWCOYjZbMEZCIdlfH2dO,https://api.spotify.com/v1/tracks/5ExWCOYjZbMEZCIdlfH2dO,https://api.spotify.com/v1/audio-analysis/5ExWCOYjZbMEZCIdlfH2dO,243727,4,,
0.613,0.822,9,-4.087,1,0.026,0.0092,0.506,0.429,0.567,105.997,audio_features,3jjsRKEsF42ccXf8kWR3nu,spotify:track:3jjsRKEsF42ccXf8kWR3nu,https://api.spotify.com/v1/tracks/3jjsRKEsF42ccXf8kWR3nu,https://api.spotify.com/v1/audio-analysis/3jjsRKEsF42ccXf8kWR3nu,128199,4,,
0.424,0.342,7,-9.469,0,0.0339,0.838,0,0.136,0.124,76.235,audio_features,3XCveEutwTaDiekRkkfdp9,spotify:track:3XCveEutwTaDiekRkkfdp9,https://api.spotify.com/v1/tracks/3XCveEutwTaDiekRkkfdp9,https://api.spotify.com/v1/audio-analysis/3XCveEutwTaDiekRkkfdp9,169773,4,,
0.901,0.136,8,-16.127,0,0.102,0.667,0.354,0.109,0.643,150.076,audio_features,7EAMXbLcL0qXmciM5SwMh2,spotify:track:7EAMXbLcL0qXmciM5SwMh2,https://api.spotify.com/v1/tracks/7EAMXbLcL0qXmciM5SwMh2,https://api.spotify.com/v1/audio-analysis/7EAMXbLcL0qXmciM5SwMh2,211140,4,,
0.73,0.355,10,-9.13,0,0.0359,0.154,0.00155,0.117,0.56,142.143,audio_features,5WbfFTuIldjL9x7W6y5l7R,spotify:track:5WbfFTuIldjL9x7W6y5l7R,https://api.spotify.com/v1/tracks/5WbfFTuIldjL9x7W6y5l7R,https://api.spotify.com/v1/audio-analysis/5WbfFTuIldjL9x7W6y5l7R,202653,4,,
0.648,0.781,9,-8.736,0,0.0271,0.0332,0.013,0.305,0.822,133.417,audio_features,6RiiSy9GzSwiyDEJDiMuKe,spotify:track:6RiiSy9GzSwiyDEJDiMuKe,https://api.spotify.com/v1/tracks/6RiiSy9GzSwiyDEJDiMuKe,https://api.spotify.com/v1/audio-analysis/6RiiSy9GzSwiyDEJDiMuKe,153313,4,,
0.354,0.394,2,-11.567,1,0.0534,0.135,0.0432,0.131,0.17,160.555,audio_features,7Bj4wIqRzM6vx278EFYoBh,spotify:track:7Bj4wIqRzM6vx278EFYoBh,https://api.spotify.com/v1/tracks/7Bj4wIqRzM6vx278EFYoBh,https://api.spotify.com/v1/audio-analysis/7Bj4wIqRzM6vx278EFYoBh,248267,3,,
