danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,,duration_ms,explicit,popularity,track_name,track_artist,track_id
42.2,1.90E+01,2,-16.299,0,0.0313,0.729,0.945,9.04,0.0383,66.207,301.48,301.48,FALSE,2,My Funny Valentine,Peter Nero,5djSJr5jK6v4KDDRjtOtvJ
49.1,2.90E+00,11,-25.531,1,0.072,0.994,0.958,9.37,0.137,66.304,160.5,160.5,FALSE,0,Blanket of Snow,Piano Mood,3F2bH7cdbWhdQN4SBMXigA
62.6,7.20E-01,5,-24.813,1,0.37,0.995,0.971,14.9,0.497,66.384,198.016,198.016,FALSE,0,Etherea,Piano Mood,0wRi0QtHds5oufXCZQVUTl
6.21,5.15E+00,6,-25.811,0,0.043,0.993,0.972,10.2,0.0771,66.519,276,276,FALSE,0,Flying Without Wings,Shadowdream,2tFeSgVSRYJl4Ji7zn98Jf
78.7,2.40E+01,10,-10.681,1,0.328,0.458,0,10.9,0.903,66.744,67.013,67.013,FALSE,0,Head And Shoulders,Kidzone,0YoFki6nvXEQTdI5aTKqJz
17.7,5.32E+00,10,-25.35,1,0.0442,0.981,0.785,11.4,0.0363,66.792,337.528,337.528,FALSE,1,whispering city,Zella Rae,6jfpoWDSLzPC8ylKlJz1GO
33.1,2.56E+00,5,-27.669,1,0.0417,0.995,0.925,7.75,0.203,66.876,396.676,396.676,FALSE,0,Susan Song,Demian Slade,6Zwj9uAQpmYcwAZBdn4Y6t
51,3.43E-01,11,-26.898,0,0.16,0.995,0.955,16.3,0.689,67.262,192.605,192.605,FALSE,0,Morning Sky,Piano Mood,0ZRb0gbD5TlnqYBSfmnVyL
25,7.33E+00,4,-21.525,0,0.0351,0.993,0.908,12,0.129,67.52,197.573,197.573,FALSE,0,Melancholy,Clara Ponty,5nmwldP7JgIFTF7Hh5ONrd
17.7,8.18E+00,10,-26.734,1,0.0438,0.982,0.928,15.7,0.035,67.536,335.308,335.308,FALSE,1,when a girl's beautiful,Zella Rae,1a0cnEIpRvzaEknDTvGUXh
28.4,2.77E+01,2,-11.983,0,0.047,0.899,0.000203,29.1,0.208,67.683,151.55,151.55,FALSE,0,The Situation,Glenn Wiggins,6eCfOxU3GOdvGYA37zjxTh
50.5,2.73E+01,7,-11.724,1,0.0375,0.893,0.0779,26.4,0.101,67.701,191.947,191.947,FALSE,1,"Glory, Glory",Daniel Ballinger,5oFghdXwMzkCYIhLPI7z8T
32.4,6.02E+00,9,-24.758,0,0.0609,0.988,0.963,9.68,0.189,67.723,227.149,227.149,FALSE,0,Sweden,Piano Mood,16PfZ7H6mn30XaHZLoBvTX
66,1.47E+00,10,-23.904,1,0.142,0.995,0.952,10.9,0.379,67.859,173.066,173.066,FALSE,0,Old Friends,Piano Mood,2GxUVtb8UHVmTEXALRzd4C
61.4,5.90E+01,4,-7.122,1,0.039,0.358,0,20,0.785,67.874,194.507,194.507,FALSE,0,Let It Snow,Steve Chavez,50vmF76eGjkX38N1yFF5XR
56.4,7.52E+01,9,-4.19,0,0.277,0.0805,0,34.2,0.645,67.961,264.76,264.76,TRUE,7,Imma G - Main,Dem Get Away Boyz,6Jbm9eULlaBDKNHqALa6c8
11.9,4.49E+00,9,-27.784,1,0.0392,0.896,0.826,8.71,0.0355,68.065,107.854,107.854,FALSE,0,Deep Relaxation,Zen Path,3PU0nqExINQYgd7VorQ9pX
50.2,2.71E+00,1,-25.702,1,0.0621,0.994,0.959,9.44,0.0962,68.238,208.75,208.75,FALSE,0,April's Fool,Piano Mood,0p0l6c45byk8cLfL43jEe3
18.7,4.50E+01,2,-33.427,0,0.0585,0.956,0.997,9.77,0.0229,68.386,194.25,194.25,FALSE,0,Distant Noise,Pink Noise Therapy,6sDQBjiYRzJs0EOadFuOwS
36.5,7.25E-01,9,-32.874,0,0.0301,0.923,0.906,10.9,0.0355,68.409,172,172,FALSE,0,Healing Harmonies,Meditative Zen,0WcqlKcQx0dUhKSWB2PJXJ
45,8.12E-01,4,-26.515,1,0.109,0.993,0.947,11.3,0.239,68.428,201.278,201.278,FALSE,0,Lands End,Piano Mood,7qoLrDelnEcjVWZE8lHr3Q
59.3,1.06E+00,10,-26.001,1,0.0702,0.991,0.962,9.85,0.0714,68.488,215.598,215.598,FALSE,0,By the River,Piano Mood,235qVuUGHOBDM1CSTX8SqW
24,1.74E+01,4,-6.928,1,0.0297,5.58E-05,0.766,9.13,0.0655,68.504,55.75,55.75,FALSE,2,Slow Emotion,Sound Frames,4I9RbwYc82hsBZ2smdY1kF
27.8,3.23E+00,2,-18.19,1,0.0383,0.992,0.804,21.1,0.103,68.74,208,208,FALSE,1,Transcend,Robert W Hildreth,0U7AsAw44QDA0diwijjAkc
37.2,2.34E-01,3,-32.898,1,0.0381,0.996,0.936,9.32,0.321,68.748,185.736,185.736,FALSE,1,Happy Thought,Bedtime Instrumental Piano Music Academy,0MtpAb4HojmoS1qv1CdGMf
37.2,2.34E-01,3,-32.898,1,0.0381,0.996,0.936,9.32,0.321,68.748,185.736,185.736,FALSE,1,Happy Thought,Bedtime Instrumental Piano Music Academy,1kYfRVaAVsEeC991x10a5Q
46.7,3.19E+00,6,-25.959,1,0.0782,0.993,0.965,13.5,0.226,68.751,178.835,178.835,FALSE,0,Daybreak,Piano Mood,69WRtt1sKDX5wVVqpPaVjC
47.7,4.17E+00,11,-25.784,1,0.0518,0.986,0.956,10.3,0.133,68.773,203.25,203.25,FALSE,0,The Last Time,Piano Mood,1h9dqzbS8VFEHGGlBuN9bO
40.4,4.88E+00,5,-24.972,1,0.0579,0.987,0.95,11.6,0.0925,68.968,216.574,216.574,FALSE,0,Out of Reach,Piano Mood,5QaguB2TleN8DvJsoh2lbr
36.2,1.16E+00,5,-24.833,1,0.0579,0.986,0.96,12.8,0.227,69.043,225.883,225.883,FALSE,0,Stay Young,Piano Mood,25GlVfEaQm8t07hHNGliJq
32,1.47E+01,1,-18.439,0,0.0469,0.98,0.928,7.23,0.19,69.105,195.733,195.733,FALSE,0,Reminicence,Clara Ponty,7EKmtzPjzAuLj4hVbu15Vu
69.5,9.26E+00,11,-17.108,0,0.161,0.976,0.116,16.2,0.523,69.18,70.877,70.877,FALSE,1,The Itsy Bitsy Spider,Classical Lullabies TaTaTa,4R9OIaic0WuA40tMV7ZMw3
6.04,1.41E+01,2,-21.028,1,0.0374,0.838,0.958,11.1,0.033,69.352,600,600,FALSE,0,Serenity is the state of being calm and peaceful,Tmang,2Q3einOJOM7OT8x91jUqKf
6.47,5.00E+00,9,-27.009,1,0.048,0.95,0.882,15.7,0.0422,69.596,174,174,FALSE,0,Blissful Tranquility,Meditative Zen,1nHjdGMHfkJTLy3vfOmPNv
41.1,9.45E+01,1,-5.154,1,0.32,0.254,1.35E-05,17.8,0.681,69.636,195.533,195.533,TRUE,1,Pullup n Show (feat. Trae tha Truth),Mack Biggers,4pwcscEYx3UU4r3dJjDYCf
27.1,7.43E+00,8,-25.565,1,0.0382,0.987,0.95,10.6,0.0334,69.721,237.75,237.75,FALSE,0,Lazy Days,Piano Mood,1kRMjXzxFN00kAx944tnGs
59.4,3.91E+01,10,-11.863,0,0.665,0.0395,0,8.73,0.482,69.781,97.032,97.032,TRUE,0,Smell The Hate,T-Tomp,1OgNC4T6DcSDU5x8zkKILe
18.2,1.34E+01,4,-24.015,0,0.051,0.887,0.807,10.7,0.0316,69.867,315.688,315.688,FALSE,0,The focus on the present moment and the inner self,Tmang,0xdQxzqaNeE72LewWTlsAj
19.2,3.97E+01,4,-17.016,0,0.193,0.445,0.675,8.03,0.0391,69.905,214.64,214.64,FALSE,0,Luna,The Aliens,0vehd58RF5trNHkr95Dxg7
51,6.49E+01,0,-6.77,1,0.439,0.192,4.81E-05,19.3,0.576,69.951,208.484,208.484,FALSE,0,Trials & Tribulations,Dj Teddy,67LjBhQmjXSKqSBcxaqYhO
29,8.02E+01,2,-4.73,0,0.0611,1.62E-06,0.917,51.7,0.106,69.988,144.32,144.32,FALSE,1,CTC,Rotten Sound,7id57EN2xKWhiI265Cth8F
14.2,3.16E+01,0,-14.645,1,0.0389,0.658,0.96,10.5,0.0988,70.011,348,348,FALSE,0,Nightmare Facades,Shadowdream,5aSMlFi30TbGhtA6rezuTI
19.1,8.50E+00,6,-25.33,0,0.0386,0.962,0.915,8.82,0.0358,70.204,122.047,122.047,FALSE,0,Silent Whispers,Zen Path,5skOsLaj4OtaUFFStdPAZZ
29,5.46E+00,0,-24.591,1,0.0501,0.985,0.949,9.99,0.153,70.219,195.674,195.674,FALSE,0,City Fog,Piano Mood,3zivC92bwT06G3qiGag3LK
34.9,5.87E+01,7,-11.124,0,0.408,0.395,0,13.9,0.619,70.222,182.282,182.282,TRUE,0,Deep End,Bluejeans,5ZSA8ewPqSsWrM3jvxdNdH
21.1,1.75E+00,4,-30.945,1,0.0379,0.972,0.924,9.92,0.0371,70.314,184.764,184.764,FALSE,0,Breathing Space,Zen Path,4hh4MsTUwTEmJfYkOddU0e
41.5,8.64E+01,8,-11.005,1,0.225,0.00204,0,32.8,0.445,70.335,264.204,264.204,FALSE,0,Big Wolf,Zeros Second,0VPpPaJjpnXuXeF5TkrVYS
5.83,1.00E+02,7,-11.232,1,0.0393,0.119,0.265,69.9,1.00E-05,70.446,112.682,112.682,FALSE,0,Between Channels,Pink Noise Therapy,3Mk6t1y63WSrFvu81zExoj
46.3,6.70E+01,10,-17.246,1,0.902,0.986,0.0279,85.8,0.405,70.485,103.542,103.542,TRUE,0,You Need a Pantyliner,Melanie Comarcho,1jY59FT3YKM5TEyZSOwU9x
39.4,7.23E+00,3,-25.131,1,0.0591,0.989,0.954,8.87,0.153,70.519,207.201,207.201,FALSE,0,Waterfall,Piano Mood,2IC5tarybSzz92mtnaO8Un
54.7,2.15E-01,4,-27.924,1,0.104,0.996,0.958,8.12,0.349,70.701,215.72,215.72,FALSE,0,Shine a Light,Piano Mood,2jbDF3rsA5egVfsc28I13O
28,3.67E+01,2,-17.587,1,0.0573,0.653,0.00184,29.1,0.0732,70.705,192.08,192.08,FALSE,0,A Summer Stroll,Sonidos de la Naturaleza para Dormir,7s1UOM85Md9mX73tsspdGv
30.1,2.88E+00,2,-26.532,1,0.0512,0.993,0.955,10.6,0.134,70.922,203.138,203.138,FALSE,0,Mists of Time,Piano Mood,6x4krjQSIu8Mb9ksIdDdtd
20.3,4.10E+01,7,-28.247,1,0.0584,0.169,0.406,37,0.00328,71.004,135.51,135.51,FALSE,0,Eastern Shoreline,Winds and Oceans,6iwoKrxSwrwbVEm8Imp6BF
48.8,7.14E+00,11,-20.993,1,0.0399,0.976,0.825,10.6,0.165,71.053,122.182,122.182,FALSE,1,Izanami,Prismo Eclectic,1VEGXdRtHmuR52f0qgEVCt
18.2,6.78E+00,5,-32.967,1,0.0471,0.977,0.887,11.7,0.0366,71.085,174.875,174.875,FALSE,8,Orca,Embien,6hC86UgJojMDpYMvuW82Yd
24.7,2.93E+00,5,-27.198,1,0.0668,0.996,0.951,8.64,0.0347,71.235,166.531,166.531,FALSE,0,Broken Sleep,Pink Noise Therapy,1r2qqZBXVTzGG9N0ccH5nX
20.3,2.27E+01,8,-12.411,1,0.0371,0.989,0.939,10.2,0.0328,71.236,77.933,77.933,FALSE,0,Amen,The Aliens,0E9LDHPeI5X0ol4swxVBuW
39,3.96E+01,10,-15.621,1,0.0603,0.0477,0.804,8.4,0.325,71.383,174.789,174.789,FALSE,0,Sinti No Soy Nada,Kurlin,5b1cyUEunUbeAmnA5G10QN
56.4,3.72E+01,7,-15.045,0,0.418,0.463,1.48E-05,10.2,0.376,71.492,191.494,191.494,TRUE,1,Marvin Gayy,ynslilblake,4FNkSaMy3oIH5h9BuZMQvR
44.7,4.23E+00,8,-25.382,1,0.071,0.993,0.969,12.6,0.299,71.514,204.02,204.02,FALSE,0,Echo Chamber,Piano Mood,0YgAuFEgd78hxr7hUhfJLK
46.9,3.59E+01,10,-13.566,1,0.0365,0.793,0,26.5,0.445,71.653,535.067,535.067,FALSE,0,Death Could Not Hold Him (Live),The Wilburns,6y5ribIlFtLN06DU60FBpy
46.9,3.71E+01,9,-6.435,0,0.0278,0.842,0,18.2,0.319,71.897,206.017,206.017,FALSE,0,Give Love on Christmas Day,J. Chang-Tablada,5dB0Bcej3iTgxW0nb8UoCt
29.4,2.60E+01,4,-10.702,1,0.034,0.906,0,8.94,0.323,71.923,267.64,267.64,FALSE,0,Been Through Enough,Garret Fitch,2OH7y6eehkylt7975TMRBq
